Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021,2022
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,931467165,957503246,984213438,1011043183,1038012552
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3193354,3193694,3281557,3262693,3221789
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,25638149,25755441,25867467,25971909,26069416
Portugal,PRT,"Population, total",SP.POP.TOTL,10283822,10286263,10297081,10325147,10379007
Paraguay,PRY,"Population, total",SP.POP.TOTL,6443328,6530026,6618695,6703799,6780744
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4569087,4685306,4803269,4922749,5043612
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2510226,2536070,2566819,2602173,2639019
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1110126741,1113310738,1117424113,1116545246,1113419395
French Polynesia,PYF,"Population, total",SP.POP.TOTL,297606,299717,301920,304032,306279
Qatar,QAT,"Population, total",SP.POP.TOTL,2766732,2807235,2760385,2688235,2695122
Romania,ROU,"Population, total",SP.POP.TOTL,19473970,19371648,19265250,19119880,18956666
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144477859,144406261,144073139,143449286,143555736
Rwanda,RWA,"Population, total",SP.POP.TOTL,12531808,12835028,13146362,13461888,13776698
South Asia,SAS,"Population, total",SP.POP.TOTL,1840534093,1861598514,1882531620,1901911604,1919348000
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,35018133,35827362,35997107,35950396,36408820
Sudan,SDN,"Population, total",SP.POP.TOTL,41999059,43232093,44440486,45657202,46874204
Senegal,SEN,"Population, total",SP.POP.TOTL,15574909,16000781,16436120,16876720,17316449
Singapore,SGP,"Population, total",SP.POP.TOTL,5638676,5703569,5685807,5453566,5637022
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,659249,674993,691191,707851,724273
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7861281,8046828,8233970,8420641,8605718
El Salvador,SLV,"Population, total",SP.POP.TOTL,6276342,6280217,6292731,6314167,6336392
San Marino,SMR,"Population, total",SP.POP.TOTL,34156,34178,34007,33745,33660
Somalia,SOM,"Population, total",SP.POP.TOTL,15411094,15981300,16537016,17065581,17597511
Serbia,SRB,"Population, total",SP.POP.TOTL,6982604,6945235,6899126,6834326,6760087
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1092307211,1121451424,1151203619,1181063755,1211070124
South Sudan,SSD,"Population, total",SP.POP.TOTL,10395329,10447666,10606227,10748272,10913164
