Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021,2022
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,79250.38785,80927.07467,85420.19086,100172.0793,104038.9461
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,3829.829855,3276.753265,2746.419483,4084.200305,4387.825715
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,5601.467061,5621.181695,4251.337253,4770.835343,5937.195466
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,74452.18907,68403.14481,58813.79698,68594.0081,72902.97995
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,42406.84543,44452.23256,44846.7916,52166.81216,54659.75396
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,34622.16967,33673.75096,31918.69349,35770.04961,34157.99012
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5594.493107,5626.170403,4897.26477,5183.5811,6047.216464
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4146.407311,4159.671408,3987.650174,4046.931467,4204.50564
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,39751.1331,40415.95676,39986.92863,39827.12677,33815.31727
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,9812.625422,9812.595536,9121.636402,10373.78979,11243.67123
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1845.783413,1970.080063,1936.250752,2069.661137,2099.301938
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1308.139779,1374.031136,1182.521506,1306.177992,1606.668075
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1533.315985,1671.3854,1577.91174,1625.235022,1786.560819
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,1607.22965,1410.01509,1403.993738,1766.143945,1701.970123
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,22548.15063,23219.40905,18566.01785,18082.68799,20176.74758
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,33436.92306,31902.4169,31721.29802,34997.78164,32254.62472
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,32012.1352,30666.22066,24297.70114,32186.76541,43233.48909
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,8387.849056,8184.424574,6837.630412,7804.448212,8884.682735
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2553.361866,2598.505523,2593.355097,2535.623434,2088.377182
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,9225.845155,8925.42186,5599.957523,4136.146575,
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,700.0370394,665.8784476,597.5296919,675.6631858,754.5328769
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,11838.29871,10542.42902,7034.658365,5908.951323,6716.095985
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,11563.87207,11726.67715,8458.075063,9414.137741,11481.49672
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,8920.943817,8713.543646,7344.060922,8413.260117,9474.467688
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,1063.20913,1089.871778,1082.600221,1151.781836,1259.1412
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,659.1197838,681.7468579,653.673818,682.7826691,741.2443633
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,175286.6193,167259.1603,165284.4971,184083.3214,
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,4360.584742,4082.694048,3852.389968,3994.246958,3354.383408
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,2178.182325,2235.391816,2123.382318,2404.551794,2542.199938
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,4900.346408,4957.610752,4729.766987,5520.31845,5793.343949
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1162.978792,1094.499438,939.5042491,1040.308623,1107.395298
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,9839.70401,9979.374237,9720.85845,11554.28688,12074.47702
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,19186.35959,19598.40087,20363.92441,23712.53578,24826.79104
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,116786.5117,112621.8213,117370.4969,133590.147,126426.0899
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,17865.03109,17945.22222,18207.13964,21080.17745,21851.1052
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,84923.30876,83183.47239,37646.49565,43873.41716,31617.5019
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3492.672363,3498.58252,3258.10498,3795.386963,3527.941895
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,194287.0933,199382.7812,182537.3046,234317.0848,
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,4156.9575,4404.950422,4376.242493,5235.636044,5562.613625
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,512.5439915,512.2796656,462.4042288,503.3520811,505.0355276
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,10823.61048,11118.52623,7282.372916,10366.25678,11817.52393
Middle East & North Africa,MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,7561.201139,7444.621285,6579.370987,7694.855169,8949.396779
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,9857.007487,10145.15263,8654.997325,10045.67637,11091.30543
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,4769.190459,5188.971114,5567.972727,6172.145065,6727.799562
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,5363.870643,5433.458434,5191.849695,6078.453807,6388.158169
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,6108.739131,6070.388054,5965.450232,6694.641126,6591.471292
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,856.3565959,840.1757461,822.9061375,881.5100886,833.2972552
