,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
155,325.099,55.774,0.0,325.123,55.849,0.0,325.099,55.774,0.0,325.123,55.849,0.0
156,325.028,55.691,0.0,325.099,55.774,0.0,325.028,55.691,0.0,325.099,55.774,0.0
157,324.92,55.483,0.0,325.028,55.691,0.0,324.92,55.483,0.0,325.028,55.691,0.0
158,324.827,55.326,0.0,324.92,55.483,0.0,324.827,55.326,0.0,324.92,55.483,0.0
159,324.749,55.141,0.0,324.827,55.326,0.0,324.749,55.141,0.0,324.827,55.326,0.0
160,324.661,54.996,0.0,324.749,55.141,0.0,324.661,54.996,0.0,324.749,55.141,0.0
161,324.661,54.996,0.0,324.788,54.971,0.0,324.661,54.996,0.0,324.788,54.971,0.0
162,324.726,54.913,0.0,324.788,54.971,0.0,324.726,54.913,0.0,324.788,54.971,0.0
163,324.711,54.786,0.0,324.726,54.913,0.0,324.711,54.786,0.0,324.726,54.913,0.0
164,324.635,54.678,0.0,324.711,54.786,0.0,324.635,54.678,0.0,324.711,54.786,0.0
165,324.588,54.516,0.0,324.635,54.678,0.0,324.588,54.516,0.0,324.635,54.678,0.0
166,324.512,54.331,0.0,324.588,54.516,0.0,324.512,54.331,0.0,324.588,54.516,0.0
167,324.512,54.331,0.0,324.687,54.327,0.0,324.512,54.331,0.0,324.687,54.327,0.0
168,324.687,54.327,0.0,324.879,54.308,0.0,324.687,54.327,0.0,324.879,54.308,0.0
169,324.853,54.22,0.0,324.879,54.308,0.0,324.853,54.22,0.0,324.879,54.308,0.0
170,324.799,54.111,0.0,324.853,54.22,0.0,324.799,54.111,0.0,324.853,54.22,0.0
171,324.73,53.951,0.0,324.799,54.111,0.0,324.73,53.951,0.0,324.799,54.111,0.0
172,324.673,53.828,0.0,324.73,53.951,0.0,324.673,53.828,0.0,324.73,53.951,0.0
173,324.605,53.668,0.0,324.673,53.828,0.0,324.605,53.668,0.0,324.673,53.828,0.0
174,324.548,53.546,0.0,324.605,53.668,0.0,324.548,53.546,0.0,324.605,53.668,0.0
175,324.548,53.546,0.0,324.754,53.512,0.0,324.548,53.546,0.0,324.754,53.512,0.0
176,324.743,53.475,0.0,324.754,53.512,0.0,324.743,53.475,0.0,324.754,53.512,0.0
177,324.718,53.388,0.0,324.743,53.475,0.0,324.718,53.388,0.0,324.743,53.475,0.0
178,324.675,53.238,0.0,324.718,53.388,0.0,324.675,53.238,0.0,324.718,53.388,0.0
179,324.675,53.238,0.0,324.817,53.211,0.0,324.675,53.238,0.0,324.817,53.211,0.0
180,324.816,53.134,0.0,324.817,53.211,0.0,324.816,53.134,0.0,324.817,53.211,0.0
181,324.816,53.134,0.0,324.839,52.99,0.0,324.816,53.134,0.0,324.839,52.99,0.0
182,324.839,52.99,0.0,324.844,52.861,0.0,324.839,52.99,0.0,324.844,52.861,0.0
183,324.844,52.861,0.0,324.862,52.705,0.0,324.844,52.861,0.0,324.862,52.705,0.0
184,324.862,52.705,0.0,325.075,52.708,0.0,324.862,52.705,0.0,325.075,52.708,0.0
185,325.075,52.708,0.0,325.428,52.682,0.0,325.075,52.708,0.0,325.428,52.682,0.0
186,325.428,52.682,0.0,325.825,52.663,0.0,325.428,52.682,0.0,325.825,52.663,0.0
187,325.825,52.663,0.0,326.288,52.648,0.0,325.825,52.663,0.0,326.288,52.648,0.0
188,326.288,52.648,0.0,326.665,52.628,0.0,326.288,52.648,0.0,326.665,52.628,0.0
189,326.665,52.628,0.0,326.98,52.615,0.0,326.665,52.628,0.0,326.98,52.615,0.0
